"initials","group","text","timestamp","extracted_locations","extracted_species","extracted_gear","extracted_activity","extracted_time","extracted_mention","reviewer"
"A",48," So wake up – so fishing, obviously. So wake up by 4.35. It's like, grab a quick cup of coffee. If I can have my stuff together, I've got the coffee on an auto timer. So it just makes it. Didn't always do that. , Try to grab something to eat on the boat. I mean, that was one thing that was always a struggle for me was having enough food on the boat. I mean, I'd get off and just be rav – I'd eat anything in sight. I mean, I was just starving. I've burned 5,000 calories a day sometimes, just moving literally from five o'clock in the morning some – for 12 straight hours. I mean, sometimes you don't even have time to go to the bathroom. You don't have anything. I mean, the traps are coming quick. There's so much to do. And so for one thing for me, I'd always laugh at it. It was usually just Dave and I on the boat. And we would kill it. I mean, some days we'd have 2,400 pounds of lobsters, just him and I. And so – and then we'd come into the dock and we'd be in line to sell our lobsters. And I'll see a boat with a captain and two crew, two guys. And I'm just like, I got you. We just did the same thing, if not better. And it's just me. So you have no time, though. Your hands are just ju-ju-ju-ju all the time. So that was always really stressful. So get up in the morning, try to get that cup of coffee, try to get some food in a bag. And again, you're going non-stop. So you miss the grocery store. I mean, in Southwest, the grocery store closes at 6, sometimes 7 if you're lucky. You're getting gas station food. It's disgusting. You feel like crap. Going through the health cycles now of trying to eat better has been really good for me. So you get on the boat and it's like getting bait. We usually got bait in the morning. Sometimes we put it on the night before. But if we had to get bait in the morning, so it's like going to the bait cooler, going and loading up the truck, bringing that to the dock, bringing the boat around, hoisting it down. Like the whole process would take anywhere from a half hour to an hour, depending on what we were doing. It would also dictate when we started our day, trying to get out there as early as possible. So I have beautiful sunrise photos, which I do miss the sunrise more than anything on the ocean. And then it was just like that first trap comes aboard. And sometimes it comes aboard five seconds leaving the dock. Sometimes it's an hour. We have to steam offshore, depending on what the tide's doing, what the weather's going to do for the day, depends on where we're going to start. If we're going to shift traps, then that will decide are we going to go to this string first? Haul those, then go pick those up and move those over here. Are we going to start out off Duck Island and work our way back? , I mean, all those conversations are usually happening mostly with Dave in his head and then us together trying to figure out what we're going to do for the day, like what's our goal? Are we going to try to haul 200? Are we going to try to haul 300, 400? What's our plan for the day will sort of dictate what that's going to look like. And then get all the lobsters. And in the minute we haul the last trap, it's start crating all the lobsters up, cleaning up the boat, putting – if there's any bait left, putting the bait away. Just kind of tidying up. If you're scalloping, then it's usually a long steam. Like right now, depending on where the guys are going, this is closed. They're going over off Swan's Island and Marshall Island and over there. So that's a two, three-hour steam sometimes. So that's usually me. And that's a different boat. So we have two different boats. We have the Dragger and the Lobster Boat. The Dragger – I'd make a pot of coffee if it wasn't frozen. It would be many times I'd get down to the boat and go, “Damn it.” And the whole thing and everything is just frozen. So it takes a little bit to thaw everything out. Make coffee. Get ready for scalloping is pretty – it takes like 10 minutes to kind of get prepped. Because I usually leave it ready to go at the end of the day. And then we go out and we'd set out our first toe for scalloping. You can't set out until sunrise. So you can have like – we usually would get right where we want to go. Because you want to claim that spot. You want to clean that territory. So you deploy your drag right off the corner of the boat. And you hold it there. And you just kind of circle around until you get the time call. And – which is sunrise at Augusta. It's not our sunrise or anything like that. It's always calculated by Augusta sunrise. So the minute we'd get that, you know, be watching the clock. And if there's wardens out, they're all watching the clock too. So everyone's like waiting. And then it's just kind of like – and then it's go time. And then you just – I mean, from that moment on, we deploy the drag. Hopefully we've got scallops in that first toe. And it's anywhere from – I mean, we did three minute toes in Gouldsboro. And we'd get eight, nine bushels of scallops in one three minute toe, which is crazy. I don't think they're seeing that anymore. But that was years ago. I mean, that was a really quick toe. And you'd load up your scallops. And then you'd dump the bag. And then it would just start shelling them out and doing it again until you got your limit. , So you had to sort of – for scalloping, you had to decide what your bushel count was going to look like. So we're only allowed 15 gallons a day. So we're trying – or 135 pounds. So we're trying to figure out like, what are these going to cut out to? So sometimes they're really big, sometimes they're really small. And that will decide like how many bushels we're going to take for the day. And then as soon as we think we've gotten about the rough amount that we need to fulfill that limit, then we start heading home, and we shell them out the whole way, and clean up the boat, package them up. We have a scale on the boat. So we usually just weigh everything there and then I'll deliver. So some days we'd be done by noon. You know, we'd leave early, but we'd be done by noon. And then I'd spend my afternoon bringing scallops to everybody. So that's a little different this year because it's taking longer to get the scallops and they're going further distance, so they're not getting back until like six at night. So we just get them first thing in the morning.","[37:36]","Duck Island, Marshall Island, home","lobster, scallop","lobster boat","fishing, trap, lobster, drag","35, 000, 12, 400, 200, 300, 10, august, 15, 135","4, 35, one, 5, five, 12, 2, two, 6, 7, three, 10, eight, nine, 15, six",""
"Q",49," And can you talk a little bit more about how these roles in fishing sort of interacted with your family or caregiving responsibilities?","[43:34]","","","","fishing","","",""
"A",50," Oh my gosh, yeah, that caused so much trouble. You know, there's – it's one thing when you're a single person with no child, you know? My responsibilities are my own and whatever. When you have a small human, you're then very responsible, obviously. And I had to depend on other people to help me get through that period of my life. So there is a lot of stress there. A lot of guilt. You know? If I miss something. The other thing with fishing is that Dave has his own kids. And so he knew, you know, like this is important, this is important. I got to be in for this. I got to be in for that. And yeah, we didn't make as much money, but whatever. It was, nothing we were willing to sacrifice. So there was a lot of pressure, like my mom helped me a lot. Eden's other grandmother, unfortunately, passed away when she was young. But in those first two years she was very available. And you just – you know, I missed weddings. I missed things with friends that they didn't understand the lifestyle. So they don't – they're not as forgiving when you miss an important event for them because you're gone, and you can't be there. So I had some relationships kind of – you know? It just happens. But they fizzled away. And I had to call on a lot of people to help me. I mean, my mom got me through. I mean, there was days where I'd come and there'd be food in my fridge because she know I couldn't make it to the grocery store. That I was starving, and, you know, there's only so many restaurants in the winter time, or anything like that. You eat out a lot. I mean, that became a huge thing because I just didn't have the energy to , want to cook, or prep, or anything – or shop. Didn't have the ability to do that so we ate a lot. And – yeah. And then once – as Eden got older though, that's when I really started to like, I've got to take a step off this boat more. I got to not be here as much. And that's where I am today.","[43:41]","","tuna","","fishing","winter","one, two",""
"Q",51," And how do you think that will change as you look towards the future?","[45:39]","","","","","","",""
"A",52," I think that I've just built a very good foundation for showing Eden what work ethic is all about. I mean, she saw me get up many mornings and go to work. And I think that's important. And as I get older, I do – I mean, I've only been out of fishing now for about a year. So as I look back on that lifestyle, I look back on things that I wish I had done differently. And, you know, I wish I had asked for a little bit more time off in certain areas. But again, I made a lot of money. And I – you know, I bought real estate. I got myself to where I am today. So I think going forward, it's really more about self-care and taking care of myself, and being there for Eden, and those moments that are really important to her and me. And so that's sort of what my life is now.","[45:43]","","","","fishing","","",""
"Q",53," Yeah, absolutely. And then sort of switching gears, can you describe any changes in the marine environment you've noticed in your time in the water?","[46:34]","","","","","","",""
"A",54," Oh my gosh. Well, starting with October 20 years ago, snow and ice. We don't see that anymore. That's huge. The lobsters definitely go through cycles. They like cold water, obviously. So we're seeing that trend of them going into deeper holes in the ocean. And we're seeing them go further offshore, not coming back as soon. There's, you know, obviously the weather events that we've just experienced over the last couple of weeks, like what the heck was that? Like Holy cow. I mean, I've lived here for 40 – almost 44 years. I've never seen Beale's underwater ever. And I live right down the street from there. So that's scary. I mean, honestly, it's terrifying. I don't know what's going to happen. And I didn't think – I mean, you always hear about climate change. You hear about the warming ocean. You hear about all these changes. And you just – until you see it, it's really hard to grasp that Holy cow, this is actually probably happening. , And so you do kind of start changing your mindset a little bit of like, OK, maybe I'm not so focused on this one thing. Maybe there are other things happening here, but until you witness it and see it. And the bait situation is changing huge. So the guys are out pogie fishing now during the summer months. And that's providing most of the bait fish for local fishermen around here. So they'll go out fishing. They'll – pogie fishing. They'll get the fish. They come in. They'll sell it directly to the fishermen or to a wharf. That's different because we've usually gotten herring. I mean, I used to go down to Portland and get, you know, redfish racks or, you know, any of the better bait – lobster candy, we used to call it, because we'd put that on the lobster – we put those in traps like, oh my gosh – certain types of redfish or depending on the quality of the fish, if it was really fresh or if it was, you know, like a really salted bait or something. Just it reac – lobsters react differently. And we spent my entire like 20 years figuring out, like we'd bait one trap with old stinky, nasty like bait that you think of. And then we'd bait it with like really fresh, fresh, fresh, and see the difference. And depending on what cycle the lobsters were in, if they were shedding or if they were hard, you know, depending on what they were, we saw those changes. And so over the years, we really developed a kind of a bait master plan to be like, OK, this type of year you use this, this type of year you use that. And whatever we can get better quality, we will. Well, what's happened over the last 10 years, those prices have gone through the roof. And so the marine fisheries has opened up this pogie fishing, which has just really been a savior. Huge. Because it's a fish that is not food quality, but it's also right here. I mean, we see – for the few years leading up to them being able to pogie fish, the schools of porgies was insane. I mean, I have videos of like pan shots of like 12 huge, massive, you know, just obviously things chasing them to the surface. And incredible, Nature. Incredible. I mean, a really fun thing to experience. Whales, sharks, I mean, you name it, everything, just going at them. Seals like, oh my gosh. Tuna, we – like everything. Was really fun. Yeah.","[46:42]","","lobster, herring, redfish, whale, seal, tuna","","lobster, fishing, fish, trap","october, 20, 40, 44, may, summer, 10, 12","20, 40, 44, one, 10, 12",""
"Q",55," Yeah. And how the aside from bait, like how do you think those environmental changes have affected your work in the sector?","[50:12]","","","","","","",""
"A",56," We – well, the bait has been a big one for the financial side of everything because obviously you go from spending 50,000 a year on herring and whatever to whatever you can get for barrels of porgies off a local boat is a lot different. , We actually have – my little brother is almost 20 and he actually goes pogie fish – He goes lobster and – but he also goes pogie fishing. So he's basically our guy. He's our bait guy. And he uses his dad's boat. So it's like we can get that a lot cheaper. But those were – that's changing. I mean, the one thing too is people shifted from this fresh bait right off the boats and barrels to this frozen bait, which I don't know if you've aware of all that, but the plastic and the cardboard used for that is disgraceful. It's pathetic. And it's really sad that we even went through a transition period of a couple of years of using so much of that, because the waste that came out of that was – it was really sad to see that. But a very easy product. You see the trucks going by with it just hay racked, and they can transport it that way. And one person can pick those boxes up. They weigh anywhere from 40 to 80 pounds. So one person can pick up one of those boxes of fish that's anywhere – it's like this. You pick it up and you just sling it on the boat and you leave it there and then by the next morning, depending on what the weather is doing, it's thawed out and ready to go the next day. So it was very practical but not from a conservative side at all. So I was really happy when that sort of has started to kind of go away a little bit. I mean people clearly still use that stuff, but it's nice to see a better product. So that's a big change because that affects price, you know, your bottom dollar. I mean, that just affects everything.","[50:18]","","herring, lobster","","fish, lobster, fishing","50, 000, 20, 40, 80","one, 50, 20, 40, 80",""
"Q",57," Yeah, and are there any other ways that you sort of coped with those changes or addressed them?","[52:11]","","","","","","",""
"A",58," Yeah, changing to porgies. That's the big one. The other thing is the boats, just going back to climate change and just different things that have changed. So weather patterns as they get – I mean we're getting better obviously, and we have over the last 20, 30 years of like predicting weather, knowing what's coming and all that. But these boats are getting faster, the boats are getting bigger, the men are getting more egotistical and a little bit more daring. So they're going out in some pretty wacky weather that – I don't know how that changes, because in their mindset they're like I can do this. You know this boat can handle it. The boat can handle it. That's – I've heard that so many times. Like the boat – whatever. I got this boat. I just spent a million dollars on this boat. This boat is going to go fishing because it needs to. So as the weather patterns change I do see the guys getting a little bit – they're still fearless and they're still going out. And that scares me. That's one thing. , I mean we've lost guys. We know people that we've lost. And it's – that's something that's really scary.","[52:16]","","","","fishing","20, 30","one, 20, 30",""
"Q",59," Yeah and you had mentioned also just the temperature change for the lobsters. Can you describe a little bit more about that?  Well one big thing for lobsters on the boat too is that if you have holding tanks, they need to be in obviously ocean water until you sell them. There are some guys that don't do that. They'll just leave them in crates on the deck of the boat, and they come in, and it's warm out. And the lobsters are already in a weak state. And then you put them on a deck of a boat with no water for however many hours, and then the heat – you're selling a dead product at that point. So fishermen have gotten better from the – I mean we got good at it because we had like a sprinkler system and we had all this. So if we're catching a thousand, two thousand pounds a day, we had a tank that was keeping ocean water on them and then we had the sprinkler system that we could put 15 crates with this like hose water to keep them cool. But if it was going to be really hot or anything like that in the summertime, we just go in and unload. Sometimes we'd unload twice a day just to keep that product alive and to maintain that. But the – but not everyone does that, so you know, that comes back to the industry because that affects the bottom dollar on everybody. If they're buying dead lobsters that's going to drive the price down. So that's huge. And then as fishermen, when we go to meetings which unfortunately through COVID the meetings on the fishermen for the different – what am I trying to say? The different zones. So there's always zone meetings. So there's like eight or nine zones. There's – we use to have really good zone meetings and I would go to them and I would learn something. Wouldn't really say much. I did a couple times and was just like it's very intimidating situation, but they haven't – they don't really do those anymore. But that was a chance to go and talk to guys. I mean, obviously everyone talks at the dock. You pull down to a dock anywhere in Maine, there's a fisherman there. If he's in a decent mood he could chat with you for hours. If he's in a bad mood, doesn't want to talk to you, you know, it's clearly obvious. But one thing we always talk about is product quality and making sure that the lobsters are not dead. And if you're leaving them in the traps too long they get weaker. I mean, there's a lot of things that factor the quality of the lobster. ,  Yeah, and with these recent storms, do you find a lot of people are talking about that now too?","[53:20]","","lobster, tuna","","lobster, trap","15, summer","one, two, 15, eight, nine",""
"A",60," It's – so yes. Actually I'm going to say not so much, because right now I think people are really just trying to figure out how to get through the winter and dealing with storm damage. And then – I mean, there's people that have lost their boats so I mean that goes back to square one for them. I mean, depending on what their insurance is, not only that, to get a new boat, you'd either got to go buy an existing boat. Repair your boat. Those things are huge because you can't find people to work on them. I mean, it goes down to supply chain issues of like all the gear that's needed, the lost traps is insane. I mean, I don't know if you've heard anything about that but I mean people – that's hundreds of thousands, if not millions of dollars worth a gear that gets destroyed in big storms like that, and I know this one wiped a lot out. And people weren't expecting that. I think they were expecting big tides and like, you know, big weather. But nothing as destructive as what we just saw. So now you've got to build yourself back up. And the banks – I know a lot of banks aren't loaning to fishermen right now. High interest rates, all that just comes right back down to the fishermen. Because now they're basically wiped out, and they need to start over, and they've got nothing to sell because you've just lost your product. And insurance companies don't necessarily cover lost gear.","[55:39]","cove","","","trap","winter","one",""
"Q",61," Yeah, and in terms of just thinking about like the porgies for instance. Do you think that that's really helped especially looking towards the future.","[57:05]","","","","","","",""
"A",62," Huge. Huge. That's huge. Not only that, it's given fishermen during the lull of making money in the summertime, income. And for us – so Luke will take his buddies out who are also lobster men, and he needs the hands on deck. He needs a couple of guys to help him pogie fish, so he just – he pays them in barrels of bait. So that works for everybody. And so those are things that are hugely affecting the industry in a really positive way.","[57:13]","","lobster","","lobster, fish","summer","",""
"Q",63," And do you think there's anything else like the pogie fishing that is really working to like sort of approach these environmental changes?","[57:43]","","","","fishing","","",""
"A",64," I can't think of anything right off the top on my head, because that's the biggest one. It's really, the storm damage is what I'm most concerned about, like for our harbor. Beals is officially closed until April so that means no fishermen are going in there right now. We've got some issues with like MDI Lobster has gone , out of business. We don't know what's going on there. There's damage repairs that need to happen. So, I mean, some of these fishermen do fish year-round. Lobstering, we're talking. So they're fishing year-round and they have nowhere to go necessarily. Or they have to have a truck meet them. Rich's Wharf over in Bass Harbor completely demolished. Like you can't even step foot on that dock. I mean, that's a year-round dock for many people. Same thing with Thurston's. I mean, these are established infrastructures for the industry that, right now, are wiped out. So how that's going to affect everybody this spring will be huge because there'll be a lot of changes that need to happen. And what caused that? This very large storm. So, I mean, that's one thing that's that's – it does – there's multi layers of that.","[57:50]","harbor, Bass Harbor","lobster","","lobster, fish, fishing","april, spring","one",""
"Q",65," How do you think – how do you think people are going to sort of address that going forward?","[59:04]","","","","","","",""
"A",66," That is a good one. I don't know. I think there's a lot of fishermen that are really scared. They don't know. I mean, there's – well-established. They'll get through anything. They've been doing this for 50 years. They'll figure it out. Some of the newer guys, I think they've just been given this gravy season over the last 10 years that they've been involved. They don't know how bad it can be. And if you haven't been through despair like that. I mean, I don't know. I'm not sure. But there is a very good generation of like the young 20-year-olds, but they've – excuse me – they've just been given – you know, they've worked really hard. They deserve it, they've been out. There they've done that. But they don't know what it's like to really struggle because they've their parents – you know, everyone's helped them get to where they are. They've worked their asses off for it and they deserve it, but they haven't actually seen what it's like when things go the other way.","[59:10]","","","","","50, 10, 20","one, 50, 10, 20",""
"F",67," I was going to ask, you mentioned about the issue of like heat and kind of the product degradation, or like dying of the lobsters on – on the boats. And that you guys have the better system of like holding tanks and sprinklers. I was just wondering, was that something you built in response to kind of changing weather patterns. Like you invested in a ecological change.","[1:00:12]","","lobster","","lobster","","",""
"A",68," Yeah, completely. Yeah. That, and, oh, if I could remember the year. I want to say it was like 2005 is when we started getting over a thousand pounds regularly, and our holding tank couldn't hold that. , So we noticed when we got to the docks sluggish lobsters. And then, the guys buying lobsters would be like, OK, you're not – we haven't lost any of yours but we're losing other people, so like what's going to happen here? So we installed another Pacer pump on the boat and then added this whole new – it's very simple. I mean, my captain put the whole thing together for like $300 or $400 other than the Pacer pump. And it worked like a champ. It was great. I got sprayed in the face a trillion times, but it was really – it worked. But that was definitely in response to a higher level of catch – increased huge – almost – not – I'm not going to say overnight, but it was almost like from one season to the next, it was a significant uptick in what we were catching. And then, yeah, the warm weather in the summertime. And even in the winter, I mean, sometimes it'd be too cold, so you'd like, you kind of had to regulate that depending on what season it was and what was going on.  Yeah. And you sort of talked about this already, but are – do you feel that there are any particular resources, relationships, knowledge, training organizations, like those sort of things, that you really drawn on to adapt to these things?","[1:00:28]","ledge","lobster","","lobster","2005, 300, 400, summer, winter","one",""
"Q",69," So I was a huge fan of these zone council meetings and going to those. They don't exist anymore. From what I've gathered too, they've gotten very political and there are more just information sessions for from what I've gathered. Augusta just shows up and kind of just says what's happening with very limited – public comment is available but it doesn't do anything, so that's too bad. But more so just, I think, through Facebook groups. You know? You connect with people that you don't know about. Like this Ali Farrell that wrote this book “Pretty Rugged.” She contacted me via a Facebook post and we became really good friends. You know? And she did this great book so – and then we ended up doing – we wanted to go on tour. We made a joke we wanted to go on tour. But like seven or eight of the women, we all got together. And then we did like a public talk for the library. We did a few different public engagements. And it was really fun to be able to like connect with them, and meet them, and then know that like, oh my, gosh, you guys, we're all going through the same struggles of parenting, and the guilt of not always being their first thing in the morning, or I'd get home so late at night my daughter was already sleeping. I missed her the whole day. And so there was some really dark days for me of feeling really guilty, so it was really nice to have that resource of like, wow, there are other people out there. So Facebook not that I love Facebook, but it exists and it has been a really good way to network and connect with others. I do try to attend anything that I can that , interests me. At the Penobscot Museum I know they did like a women's fishing thing, that was really cool. Rockland for the lobster association big meeting, the convention that they do down there. It's good during the day. The evening there is not so much fun. To many people it is, but it's more of a way to get together and get drunk and – but the information there is really cool. And other resources – really just my community. I mean, I feel like I've been a really good resource for people. I've had you know women – or young girls approaching me with their application for their apprenticeship, and I think that's really kind of when I decided that I'm there. I'm at a point in my life where I feel like I am a good resource and I do have enough information to offer back to these people now. So like I feel good about that. I feel very secure in what I am. So I try to be a resource. But, yeah. And then the restaurant, the chefs actually have been really great. I mean, I have connected – when I was 15 and delivering seafood from the fish market, that's where I started off was, you know, going to restaurants and bringing them to these chefs directly. And they'd be like, wow, this is an amazing product, because they you know they're used to Maine Shellfish, or they're used to these other delivery trucks. And then, so I'm bringing it literally from the boat to them. And, you know, the mileage on that is like sometimes less than five miles. So that's pretty incredible. But, yeah They would give me more information as far as like protein and just the quality of the product, so that's something that really got nailed home to me when I was young is knowing just how good of a product seafood is, and the protein, and the nutrients. Like it's incredible. So.  Yeah, and you mentioned with like the holding tank, just being able to do that. Do you feel like you've been able to make a lot of the – like adapt to a lot of the changes in the way you wanted to.","[1:01:54]","home","lobster","","fishing, lobster, fish","august, 15","seven, eight, 15, five",""
"A",70," Definitely. I mean, we've always said you have to roll with the punches. And so – and one thing. And here when we started weighing the pros and cons versus fishing versus minigolf, minigolf there are zero regulations. And we just like – as we get like emails or texts about like, oh, regulation change, or you know rule change. Like how many times do we see rule change come up on an email or some – oh, roll your eyes and think like now what? What do we got to do now? Like, oh, the measure's got to be changed now. Or you know, the vents have to be changed out now. Or, oh, these links don't work. Or the marine patrol come on the boat and they want to like measure all your circles for your – your drag and make sure those aren't stretched out, or you know. , So all these things are like constantly changing. And then we get minigolf, like zero regulation, and you can make up your own rules. It's so great. So really, like it's been funny for us but also like eye opening to the amount of things that we've had to adapt to and change over the years to appease these different regulations and, yeah, some of them are great. Some of them are pain-in-the-you-know-what and – but, I mean, it's part of the industry. So you – I mean, as much as you can go to meetings and try to say your peace, it's happening.","[1:05:32]","","","","fishing, drag","","one",""
"Q",71," Yeah, and are there kinds of adaptations you wish you would have been able to make to like access different things that you haven't been able to.","[1:06:47]","","","","","","",""
"A",72," So when the ropeless trap guy approached me four or five years ago, I wish I would have – I did give him a lot of my time. I wish we would have tried his gear a couple years ago. Because now I'm not on the boat, it's harder for me to like be part of that. And I think he was on to something. But we talked heavily about like – he brought that up – up here. It's called Lobster Lift is the name of the company. And he was great. And I loved his products, but there were so many things that I saw wrong with it like that. So I worked with him for about a year back and forth, and that's one regret I have is that I'm not working with him now to bring that more to frutation (sic) because it's a really good product. And it's – the technology is there and I believe it's going to work. The problem is the current state of fishing is not that. Like if we – if this was a brand new fishery, and you were trying to like, oh, this is how you do it. OK. Unfortunately you have a very ancient way of doing things with ancient mindsets. So to change all that is almost impossible. And so where they meet in the middle is what the problem is. And that I don't know. And I don't know how to bring that together. There was a lot of rumors going around about boats getting sunk for helping these guys, about traps getting cut off and all that. So we sort of had to – unfortunately, we had to kind of make a social call, that if we help this guy or be part of this, like we don't want to be part of the negative effects of that right now, because he still has a long way to go to figure that out. But I met with him kind of as much as I could.","[1:06:54]","","lobster, tuna","","trap, lobster, fishing","","four, five, one",""
"Q",73," Yeah, and this is kind of a long question, so I'll read the whole thing. What is your biggest concern about the marine environment for the future for Maine's coastal fisheries. And if you could tell policymakers in Maine what their biggest priority should be to help people adapt to these changes, what would you tell them?","[1:08:44]","","","","","","",""
"A",74," So policy is something that without knowing what the new policies are, it's very hard to make a statement or to know which way to go. Because for me, I , know – I mean, I consider myself a fairly intelligent person. But when I read a new rule or a new policy, I've no idea what it means. No clue. And so – and the, you know, and the kind of conversation is always like, oh, they do that to confuse you. Like that's just a throw it off to get you to vote one way or another way when really this is what they're what they're trying to achieve. So one thing that I think would be really important would be – and we had observers for a long time. And observers are not the answer. I don't I'm not saying that that's what we need, but we need people that will come out on the boat and see what's really happening and learn more about what the day-to-day fishery looks like, not necessarily what it looks like in an office somewhere. Because, I mean, you can get a report, and you can think you know what's going on, but unless you're actually on the water, you've got no idea. And so, Kathleen Reardon. Do you know Kathleen? She worked for DMR. She's out of Damariscotta. She's amazing and I like – have a true friend in her. So she would come out and sample lobsters with us several times over the last 20 years. She was one of the most like neutral people I ever dealt with, which is great. She'd come on the boat. She would be miked. And she would measure every single lobster that came aboard the boat. Sometimes it was 4,000 pounds worth of lobsters. I mean, every lobster – even if it was dead, she – and no matter the size she would mic – and she would give just the data report. And so she – that information was so important. And so she would be really great at informing us on like new policies, talking to us like real people, not through an email with like 800 different bullet points. It was like, this is what's going on. And she'd be real. So if you could get more people like her that could come and talk to us and be on the boat with us, because you have a level of respect for someone that comes and is meeting you at the boat at four o'clock in the morning, and staying with you all day, and she kicked butt. Like she was great. So more people like that that actually have a passion for the future of the fishery would be huge. And the fishermen lose respect quickly when they you, you know, when they're being told what to do by someone that's never even been on a boat before. And that's just the way it is.","[1:09:01]","","lobster","","lobster","20, 000, 800","one, 20, 4, four",""
"Q",75," Yeah, and sort of switching gears again, and thinking about climate and resilience and strategies for that, have you participated in any climate resilience or adaptation programs for bans for fishing.","[1:11:45]","","","","fishing","","",""
"A",76," Other than the LobsterLift, that's about it.","[1:11:57]","","lobster","","lobster","","",""
"Q",77,",  And to the point of the LobsterLift, do you think attending that was helpful for your thinking about (inaudible; overlapping dialogue).","[1:12:01]","","lobster","","lobster","","",""
"A",78," Totally. A hundred percent. Oh my gosh. Like I still think – so Cormac, and I could give you his information. He would be happy. He loved them. I mean, this is his passion. He went to Malaysia and won a huge technology award. So he was actually sponsored by NOAA, which is when we had to stop kind of working with him, was when we found where his funding was coming from. That was just like a huge no-no for fishermen at the time. Now, it's been a couple years. It's like the mindset, I still think is kind of not there yet. Well, I know it's not. But he has a really good idea. And that was – it's something that I hope that he is continuing with because he wanted us to deploy all this. The other thing is these big storms, your traps would be safe. I mean, they might tumble around a little bit, and like, yeah, there's stuff down there. The problem is with these traps is that when they get tangled up with something else, or who knows what, they're gone. But this LobsterLift thing, I mean it's – there's – I definitely have done the pros and the cons for that too, and I can see where it's a really good product. It's just how do you how do you merge ancient theory with technology of the future. And so with anything that's where the problem lies. But that's an organization that I – I definitely – I support him in figuring that out, and other people that are. And I know there's – I think he said – at the time this was – and I'm talking two years ago. I saw him last year, but two years ago when he was really heavy into this, there were seven companies at the time trying to develop that technology, and I think there's just more now. And it has advanced. But that was one thing that's like, wow. If – you know, the storm – your traps would be safe. Or safer. We don't want to say totally safe. But they – better chance of getting them back, which would be huge.","[1:12:07]","","lobster","","trap, lobster","","two, seven, one",""
"Q",79," And what strategies do you think would be effective in continuing to build resilience against climate related impacts.","[1:14:00]","","","","","","",""
"A",80," So the docks, I think are now, they're the ones that are really dealing with this the most because – like Justin Snyder at Beals, I don't know if you've talked to him. He's huge climate change. And so he is – and actually a really good person for you guys to talk to too because he's very open-minded to climate change. He's from Florida. You know? He – his family bought Beals several years ago, many years ago now, but he's dealing with that right now. Like what do you do to your dock? I mean, it happened once when's the next time it's going to happen. , Like, if we have another high tide like that in six months from now, like crap, you're going to go repair everything and then it's going to happen again? You know, you've got to make some adjustments and, you know, where does the – how much money does that cost, and what does that look like? So that's a that's a big one. But for us personally right now it's not affecting – it's not going to affect me because I'm not on the boat right now. But for my family, it will affect everything. And even Devon clamming – I mean we haven't found – so he doesn't go clamming this time a year, but we've seen the photos of the clams being washed up on shore. Like wow. That hasn't happened yet in our lifetime, but now we're witnessing it. So when's the next cycle of that happening again? So if it hasn't happened for 40 years, but it happened once, if it happens again in the next couple years, like we know the pattern here. So if that continues to happen, that's crazy.","[1:14:09]","","","","clamming","40","six, one, 40",""
"Q",81," And are there any other types of changes, like maybe not environment. You talk to a little bit about social, that are impacting your work and you want to tell us about?","[1:15:32]","","","","","may","",""
"A",82," Again, hard to be responding when I'm not on the boat so much, but really, I think – I mean for us for right now for Southwest Harbor anyway, I'll just focus on that, is we have one dock out of business. We have another one completely wrecked. And we've got a dry – we've got a – we have trucks that come and buy on the pier. Well right now they're saying our pier's not safe. So those are huge, I mean. And those were all affected. Those storms kind of knocked out our infrastructure hopefully only for the short term, but something that people are going to be thinking more about. I know the harbor committee in Southwest Harbor is – this is the – I mean, health and emergency meeting right after that all happened because it wiped out everything. And it destroyed our coastline. So, I mean, there's a lot of things that need to be figured out.","[1:15:41]","Southwest Harbor, harbor","","","","","one",""
"Q",83," Do you have any thoughts on how people are going to sort of like cope or adapt with that towards the future?","[1:16:34]","","","","","","",""
"A",84," I don't know. Justin would be a good one to talk to because he's – right now, I know he's talking to Washington, and I know he's trying to figure out funding for himself and for others. He's donated all their products because the, like – I don't know if you've been in Beals, but there's hatches there, and all the water went through the hatches. And he said it was like a whale blow hole. It was insane, and they ended up losing all their products through the hatches. So they had like crab meat was floating around the harbor. I mean, they lost everything. So how they adapt now is huge – I have no idea. , Coast Guard too. The Coast Guard was underwater. I mean, all those places. It's huge amounts of damage. But how they go forward, I don't know. The boats – we thankfully were at the breakwater at Dystart's, so that didn't affect our boat. But everything is broken. I mean there's – it's just shackles. Everything falling apart.","[1:16:38]","harbor","whale, crab","","","fall","one",""
"Q",85," Can you tell me about any opportunities or positive changes you've experienced during the time on the water?","[1:17:36]","","","","","","",""
"A",86," I definitely think interviews like this – I mean, when I get asked to talk or like say my piece about any of it, I think that's really cool and I'm happy to do that, and I think that that's something that I want to continue to do. The golf course is my platform from here on out as – you know, we're talking about doing like talks there, and doing different demonstrations there and different things. So going forward from me that will be what I do. That will be my focus for the next five to 10 years is being able to provide a place for locals, for visitors, for groups, for everybody to come and learn about the fishing industry through my eyes and through Dave's eyes. So that's my that's my goal. (laughter)","[1:17:41]","","","","fishing","10","five, 10",""
"Q",87," Yeah, and what is sort of your hopeful vision for the future of Maine fisheries.","[1:18:28]","","","","","","",""
