date_mdy,month,journal_entry,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,transcription,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,second_check,journal,transcription_accuracy,...1
8/31/1872,August,worked 5/8 of a day went to Hon Eugene Hale Lexture in evning Lodge of Good Templars took dinner at Abner Tracys,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/1/1872,September,Raked oates in afternoon,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/2/1872,September,Work on James Bourgetts house making door frames and window frames dinner at Abner Tracys,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/3/1872,September,Put in window frame and door frame clapboard front end house dinner at Abner Tracys,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/4/1872,September,Getting out door and window Casings mop boards &c dinner to Abner Tracys as Usual,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/5/1872,September,Getting out window Jams reed letter from C. C. Burrill. dinner at usual place while to work on house,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/6/1872,September,Furrowed over head and studied of the sorms wrote letter to C C Burrill dinner as usual. went to Political lecture gone one hour and 15 min.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/7/1872,September,Commenced lathing and building stairs went to Lodge of Good Templars Lodging at J Smallidge     Sun,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/8/1872,September,Breakfast at Thomas Smallidges Went to meeting in forenoon and afternoon,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/9/1872,September,work on James Bourgetts house in forenoon dinner at home. Went to Town meeting in afternoon,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/10/1872,September,Work on James Bourgetts house lathing dinner at Abner Tracys,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/11/1872,September,Lathing bedroom dinner as usual Elvina Mac Neal died at 10 oclock 30 min P.M.,NA,NA,NA,NA,NA,NA,NA,NA,somewhat confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
9/12/1872,September,Lathing cookroom dinner as usual while to work on house,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/13/1872,September,Finished lathing house and putting down base John Bickferd died at 5 P.M.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/14/1872,September,Made sink mantle piece & went to Lodge of Good Templars,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/15/1872,September,Went up the shore to see Damon Sargent lured C Stevens team Followed the procession to the grant of George Grover,Winter Harbor,NA,Up Shore,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/16/1872,September,Laid the floors through the house bought cloth to make pants,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/17/1872,September,Building cuppoard and shingling around windows,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/18/1872,September,Finished the house throughought at noon engaged C Stevens team for tomorrow,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/19/1872,September,Went to Ellsworth took dinner supper and Lodging at city Hotel,Ellsworth,NA,City Hotel,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/20/1872,September,Came home in forenoon afternoon went up the shore to work for Damon Sargent Engaged to board wills Calvin Hammond while to work on said house,Winter Harbor,NA,"Up Shore, Home",NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/21/1872,September,Getting out finnish for house went on Bound to acknowledge deed for the heirs of Alden Young came home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/22/1872,September,Staid at home unwell,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/23/1872,September,"Not well, unable to go up the shore to work for Damon Sargent on his house",NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/24/1872,September,Quite sick took sweat at night,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/25/1872,September,Staid in the house,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/26/1872,September,Sent for Dr Johnson stormy did not come,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/27/1872,September,The Dr came pronounce my sickness Typhoid fever,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/28/1872,September,Pretty low with fever reed letters of administation of the estate of B Rand,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/29/1872,September,Dr Johnson came left medicine,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
9/30/1872,September,Reed letter from Chas. C. Burrill,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/1/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/2/1872,October,Dr Johnson came left more medicine,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/3/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/4/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/5/1872,October,Dr Johnson came pronounce my fever turned,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/6/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/7/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/8/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/9/1872,October,Dr. Johnson came for his last trip pronounced me getting better,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/10/1872,October,NA,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/11/1872,October,Stoped having watches came out into sitting room for the first time,NA,NA,NA,NA,NA,NA,NA,NA,somewhat confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
10/12/1872,October,On the mending hand several came in to see me.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/13/1872,October,Was weighed my weight being 126 lbs,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/14/1872,October,Wrote letter to H. M. Soule. one to mary Moore. one to bapt. Thomas Smallidge,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/15/1872,October,Went out of door,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/16/1872,October,Wrote letter to Byron Welsh,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/17/1872,October,Went over to Geo Tracys,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/18/1872,October,making Tolers heads,NA,NA,NA,NA,NA,NA,NA,NA,somewhat confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
10/19/1872,October,making Jolers,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
10/20/1872,October,Went to Thomas Smallidge in afternoon my weight 130,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/21/1872,October,Commences to work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/22/1872,October,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/23/1872,October,Went to the Harbor Jospheph & Jennill Kingslys Child born,Winter Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/24/1872,October,Work about Home sent to Boston after Parlor stove,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/25/1872,October,Work about home and in the shop,Winter Harbor,NA,"Home, Shop",NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/26/1872,October,appraised the Real Estate Goods and Chattels of the Estate of B Rand,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/27/1872,October,Made a call at Capt Smallidge my weight 136,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/28/1872,October,Gathered turnips and beets wrote letter to Hale and Emery,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/29/1872,October,Finished gathering beets and parsnips,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/30/1872,October,Took Hayrick apart put it away done some chored up for fall,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
10/31/1872,October,Work in shop fobbing,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/1/1872,November,About home went to the Lodge installed officers had supper,Winter Harbor,NA,"Home, Lodge of Good Templars",NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/2/1872,November,Stormy reed letter from Jordan & Blake one from May S Moore,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/3/1872,November,Took tea with Flora Gerrish my weight 138,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/4/1872,November,Wrote letter to Jordan & Blake and Perly & Russel went to work on Damons S House dinner & supper at Cila Hommonds Lodging John Shaw,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/5/1872,November,Went to Election dinner at the factory Supper & Lodging at C Hammonds,Winter Harbor,NA,Factory,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/6/1872,November,finished work on Damonds house Supper & Lodging at home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/7/1872,November,Find lathe to drill Iron and work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/8/1872,November,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/9/1872,November,Went to Turtle Island gunning Reed letters from Hale & Emery Jordan & Blake Perley & Russel G. W. Tracy Went to Lodge,"Turtle Island, Winter Harbor",NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/10/1872,November,Wrote to G. W. Tracy Roderic Pendleton,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/11/1872,November,Went gunning on Egg Rock got 6 birds afternoon bought 2 bbls apples,Egg Rock,NA,NA,NA,NA,NA,NA,NA,confident,2.0,bbls,Apples,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/12/1872,November,Went on from Bound hirer $200. of Galen Smith,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/13/1872,November,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/14/1872,November,Went to West Gouldsboro with potatoes to shop to Rockland,West Gouldsboro,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/15/1872,November,Wrote letters to Perle & Russell Jordan and Blake,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/16/1872,November,Putting wood in the shop reet letter from Hale & Emery went to Lodge of Good T.,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/17/1872,November,Started for Portland in the scow Virgin got dinner at Enoch Stanleys,NA,NA,NA,NA,NA,NA,NA,NA,somewhat confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Not sure but seems like the only option,WD,1,NA,NA
11/18/1872,November,Went to S.W. Harbor,Southwest Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/19/1872,November,Got to Bass Harbor,Bass Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/20/1872,November,Laid in Bass Harbor wrote letter to my wife,Bass Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/21/1872,November,Went to Buckle Island,Buckle Island,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/22/1872,November,Laid in Buckle Isle,Buckle Island,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/23/1872,November,Went to Rockland arrived at 9 P.M.,Rockland,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/24/1872,November,Hauled in the wharf,Rockland,NA,Wharf,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/25/1872,November,Went to Portland in cart paid Jordan and Blake $ 120. paid Perley and Russel 197. settles accounts supper Lodging breakfast with H Iracy,Portland,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/26/1872,November,had watch clearned bought screw plate took curs? for Rockland arrived at 6. supper on board,Rockland,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/27/1872,November,Started for home in vessel got to Deer Isle,Deer Isle,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/28/1872,November,arrived at home at 4 P.M.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/29/1872,November,Went on the shore with Wm Rands horse,Winter Harbor,NA,Up Shore,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
11/30/1872,November,Hauling home brick shingles and boards from S Guptills wharf went to Lodge. Reed letter from CC Burrill,Winter Harbor,NA,"Home, S. Guptill's Wharf, Lodge of Good Templars",NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/1/1872,December,Took tea with Capt Thomas Smallidge stoped the evening,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/2/1872,December,Took away fire frame from sitting room and set up air tight stone,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/3/1872,December,Work in shop turning and repairing furniture,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/4/1872,December,Work in shop turning rolling pins turnip and squash pesttery,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,somewhat confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
12/5/1872,December,Repairing and setting up stove in harbor reed $ 8.00 of P B Fuss,Winter Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/6/1872,December,Work in shop all day,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/7/1872,December,Work in shop reed letter from Hale & Emery went to Lodge of G.T. reed letter from Hale & Emery,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
